Country,ISO_Code,Level,GDLCODE,Region,"2015","2016","2017","2018","2019"
"Chili","CHL","National","CHLt","Total",0.841,0.845,0.846,0.848,0.851
"Chili","CHL","Subnat","CHLr111","Aisen",0.798,0.802,0.802,0.804,0.807
"Chili","CHL","Subnat","CHLr102","Antofagasta",0.867,0.869,0.870,0.872,0.875
"Chili","CHL","Subnat","CHLr109","Arbucania",0.777,0.781,0.782,0.783,0.786
"Chili","CHL","Subnat","CHLr103","Atacama",0.845,0.849,0.850,0.852,0.855
"Chili","CHL","Subnat","CHLr108","Bio Bio",0.816,0.820,0.821,0.822,0.826
"Chili","CHL","Subnat","CHLr104","Coquimbo",0.820,0.824,0.825,0.826,0.830
"Chili","CHL","Subnat","CHLr110","Los Lagos (incl Los Rios)",0.786,0.789,0.790,0.792,0.795
"Chili","CHL","Subnat","CHLr112","Magallanes and La Antartica Chilena",0.853,0.857,0.858,0.860,0.864
"Chili","CHL","Subnat","CHLr107","Maule",0.781,0.785,0.786,0.787,0.790
"Chili","CHL","Subnat","CHLr106","OHiggins",0.810,0.815,0.815,0.817,0.820
"Chili","CHL","Subnat","CHLr113","Region Metropolitana",0.872,0.877,0.878,0.879,0.883
"Chili","CHL","Subnat","CHLr101","Tarapaca (incl Arica and Parinacota)",0.871,0.875,0.876,0.878,0.882
"Chili","CHL","Subnat","CHLr105","Valparaiso (former Aconcagua)",0.856,0.861,0.862,0.863,0.867
